20200208,闵行,莘庄,三期碟型房，南北通纯毛坯，两南一北视野采光无遮挡,478万,3室2厅 | 135.79平米 | 南 | 毛坯 | 高楼层(共15层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f941a33b-d495-4ae1-a557-eb3af81e5e2a.jpg.296x216.jpg
20200208,闵行,莘庄,好世鹿鸣苑  高档小区  环境好  位置好  房东诚心出售房主自荐,690万,2室2厅 | 98平米 | 南 北 | 精装 | 17层 | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-23424328-e1e7-4a86-ba14-e1ae6b4c06f1.jpg.296x216.jpg
20200208,闵行,莘庄,VR房源请横屏浏览 视野超好 依山傍水 满五唯一税费少,560万,3室2厅 | 140.08平米 | 南 | 精装 | 中楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b644ef37-9962-48f3-8712-f054b493d3b7.png.296x216.jpg
20200208,闵行,莘庄,双南大两房  采光充足  业主诚意出售房主自荐,278万,2室1厅 | 62.05平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-42aca2e5-3301-46da-931b-f5790db111df.jpg.296x216.jpg
20200208,闵行,莘庄,南北通 电梯三房 位置好 采光好房主自荐,590万,3室2厅 | 115.03平米 | 南 | 精装 | 中楼层(共14层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-66f58de5-f246-4e94-8d28-a1e93564ea02.jpg.296x216.jpg
20200208,闵行,莘庄,满五唯一+售后公房+全明+南北户型+产权清晰+有钥匙房主自荐,260万,2室1厅 | 56.04平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-52240888-ead2-4ba2-b2ae-1863c70fbe31.png.296x216.jpg
20200208,闵行,莘庄,此房满五年唯一，产权清晰，必卖好房。房主自荐,649万,3室2厅 | 114平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b62777ff-72c7-4355-bd78-a0103daba5fe.jpg.296x216.jpg
20200208,闵行,莘庄,总价低1房，楼层好，位置好，户型正气，主卧朝南房主自荐,185万,1室1厅 | 51.3平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5ec29134-62bc-4aee-86a2-55cdd857988d.jpg.296x216.jpg
20200208,闵行,莘庄,闵富花苑新挂一套二房 户型优越 位置佳 采光通风好房主自荐,430万,2室2厅 | 116.5平米 | 南 | 精装 | 高楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-993698a2-b05d-4956-93a4-e68a3fe55fe2.png.296x216.jpg
20200208,闵行,莘庄,莘城公寓 电梯两房 房型正气 满五唯一 税费少房主自荐,485万,2室2厅 | 107.04平米 | 南 | 精装 | 低楼层(共18层) | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-0b5ae050-c15e-4036-91c5-a10f452e3970.jpg.296x216.jpg
20200208,闵行,莘庄,白玉兰奖小区，景观楼层电梯三房户型正气，诚意出售房主自荐,608万,3室2厅 | 146.56平米 | 南 | 简装 | 中楼层(共11层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e24e689c-7a74-473d-9e1d-5631308f3825.jpg.296x216.jpg
20200208,闵行,莘庄,山上大阳台户型，南北通，依山傍水，装修好-拎包住房主自荐,515万,3室2厅 | 137.31平米 | 南 北 | 精装 | 低楼层(共18层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ffa4e619-cac6-4765-b8ca-85b82f059083.jpg.296x216.jpg
