20200208,闵行,颛桥,北桥  精装修 两房 南北通透  满五唯一  出行方便房主自荐,225万,2室1厅 | 62.68平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5aea99de-a532-425e-a226-c65fc73a37fa.jpg.296x216.jpg
20200208,闵行,颛桥,金铭西边套77平温馨小两房 近5号线 户型好,395万,2室1厅 | 77.27平米 | 南 | 简装 | 低楼层(共15层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-e88d2af1-3d4a-4827-a6db-6501e64f06a1.png.296x216.jpg
20200208,闵行,颛桥,诚金榜大两居 环境好 别墅林立 近万达 户型采光好,345万,2室2厅 | 97.85平米 | 南 | 简装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IP6NFAwfV_1.jpg.296x216.jpg
20200208,闵行,颛桥,底价出售 电梯三楼东边套两居室 南北双阳台  环境好,335万,2室2厅 | 89.9平米 | 南 | 毛坯 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_v8Mc5bTDU_1.jpg.296x216.jpg
20200208,闵行,颛桥,正气南北通，婚房精装，采光足，拎包入住，产权清晰,335万,2室1厅 | 85平米 | 南 | 精装 | 低楼层(共17层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_WIksFnLA8_1.jpg.296x216.jpg
20200208,闵行,颛桥,仅1%个税！南北通透正气房型 低于市价诚售 看房随时！,349万,2室2厅 | 85.11平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4iYCTsIty_1.jpg.296x216.jpg
20200208,闵行,颛桥,07年次新房，顶楼带阁楼，使用面积大，近颛桥地铁站,450万,4室2厅 | 152.6平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-51b5a001-507d-4136-91ff-f2c3f1676b3e.jpg.296x216.jpg
20200208,闵行,颛桥,金塔新村  三室一厅 近北桥地铁站房主自荐,248万,3室1厅 | 81.35平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9519a1ea-c153-4b10-96fb-ce32a604c7da.png.296x216.jpg
20200208,闵行,颛桥,银桥花园  满五唯一 中间楼层 位置安静房主自荐,285万,2室2厅 | 85.44平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-ccfeac25-8914-4f31-93c3-689eec03c1d1.png.296x216.jpg
20200208,闵行,颛桥,贵峰苑 3期复式 2002年楼龄新 精装修房主自荐,488万,4室3厅 | 111.93平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5ac4eced-76ff-4996-a26d-c43a49e3383f.jpg.296x216.jpg
20200208,闵行,颛桥,链家热点：维一不靠S4三房户型、价格好谈、景观楼栋,1450万,3室3厅 | 241平米 | 南 北 | 精装 | 高楼层(共28层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_nfigvqFsG_1.jpg.296x216.jpg
20200208,闵行,颛桥,万顺水原墅（公寓） 阳光美丽 温馨之家 适合居住房主自荐,168万,1室1厅 | 46.29平米 | 南 北 | 精装 | 低楼层(共12层) | 2012年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_tz4WIHMd0_1.jpg.296x216.jpg
20200208,闵行,颛桥,中间楼层，南北户型，居家装修，诚意出售，采光棒！,380万,2室2厅 | 82.8平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_k23AKy1kY_1.jpg.296x216.jpg
20200208,闵行,颛桥,视野开阔、户型方正、坐北朝南、得房率高、厨卫全明房主自荐,360万,3室2厅 | 95.76平米 | 南 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-45f12f34-8684-4be0-821e-d25b2812163d.jpg.296x216.jpg
20200208,闵行,颛桥,复地北桥城 经典FUSHI房 满五唯一 无个税房主自荐,368万,3室2厅 | 106.43平米 | 南 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-929aa3eb-89d5-4347-a627-dcad675c51a9.jpg.296x216.jpg
20200208,闵行,颛桥,今天花园 带一个大阁楼，二胎无忧 露台 很大,555万,4室2厅 | 118.83平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-9b39a829-9154-47f6-bc84-040e364fe6e2.png.296x216.jpg
20200208,闵行,颛桥,小区位置好，楼层好，户型好，家里唯一一套房子。,350万,3室2厅 | 110.16平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6480e63b-260a-4203-b219-dc824f562af7.jpg.296x216.jpg
20200208,闵行,颛桥,出行方便， 南北两房，通透性好，安静舒适，房主自荐,448万,2室2厅 | 86.4平米 | 南 | 精装 | 高楼层(共4层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f546a11b-a774-4bd2-89b5-ed3d2146cbce.jpg.296x216.jpg
20200208,闵行,颛桥,银桥花园大三房，满五唯一，免个税，业主自住诚意卖,299万,3室2厅 | 99.79平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a887a6e0-243d-476c-a5b1-9a035e2c0932.jpg.296x216.jpg
20200208,闵行,颛桥,房子位置好，中间楼层，户型好，南北通透，采光充足房主自荐,278万,2室1厅 | 80.86平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d6e3eae6-9c73-4ac1-9fe3-58df866f2781.jpg.296x216.jpg
20200208,闵行,颛桥,星河湾二期，房东很爱干净，保养如新，另有6平的露台,1530万,3室2厅 | 238.91平米 | 南 | 精装 | 低楼层(共30层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GXM06cmaz_1.jpg.296x216.jpg
20200208,闵行,颛桥,万顺水原墅(公寓) 5室2厅 1230万,1230万,5室2厅 | 298.26平米 | 南 | 其他 | 低楼层(共3层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MzIBmzbek_1.jpg.296x216.jpg
20200208,闵行,颛桥,此房满五唯一两房业主自住保养干净产权清晰,275万,2室1厅 | 72.44平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uqHUu2DAa_1.jpg.296x216.jpg
20200208,闵行,颛桥,鑫峰苑动迁免增值税，大三房户型好，钥匙房诚售,472万,3室2厅 | 127.36平米 | 南 北 | 毛坯 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_A2dY6imwl_1.jpg.296x216.jpg
20200208,闵行,颛桥,南北直通大两房+2+1户型+满五+看房方便房主自荐,478万,2室2厅 | 98.98平米 | 南 北 | 精装 | 中楼层(共8层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f5013389-2410-4645-9f0d-465f8196d1b6.jpg.296x216.jpg
20200208,闵行,颛桥,1楼带花园 1复2 位置安静  房型正气 装修新,826万,5室2厅 | 166.82平米 | 南 | 精装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QL4xRTMtD_1.jpg.296x216.jpg
20200208,闵行,颛桥,枫泽苑精装修大三房 户型正气 满五唯一 交通便利,479万,3室2厅 | 124.3平米 | 南 | 精装 | 低楼层(共8层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d0d8df2d-0695-404b-af4e-be5606d72d91.png.296x216.jpg
20200208,闵行,颛桥,静享魔都之繁华，取闹市中静谧，南北格局，户型方正,203万,2室1厅 | 62.68平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kz8LEKhlZ_1.jpg.296x216.jpg
20200208,闵行,颛桥,南北户型三房，沿河景观，动迁房，税费比较低！,429万,3室2厅 | 102.89平米 | 南 | 毛坯 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_66B6JpIFx_1.jpg.296x216.jpg
