20200208,浦东,外高桥,六号线航津地铁口 阳明花园 户型正气 楼层好诚意出售,410万,2室2厅 | 103.31平米 | 西 | 简装 | 高楼层(共19层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_VqSDpIECa_1.jpg.296x216.jpg
20200208,浦东,外高桥,非顶楼 临自贸区 地铁站 双南户型 一梯两户 采光好,219万,2室1厅 | 58.69平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DNp94TnOn_1.jpg.296x216.jpg
20200208,浦东,外高桥,两室两厅 南北双阳台 房型方正，原始动迁税费少,385万,2室2厅 | 93.07平米 | 南 | 简装 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LoJfHYfVf_1.jpg.296x216.jpg
20200208,浦东,外高桥,怡心苑难得一楼大花园南北两房，地铁无距离，欢迎鉴赏,370万,2室2厅 | 89.87平米 | 南 | 简装 | 低楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_vGMf44AL4_1.jpg.296x216.jpg
20200208,浦东,外高桥,富特四村 精装修大两房 看房方便 近地铁,240万,2室1厅 | 67.81平米 | 南 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jdRMgSWvs_1.jpg.296x216.jpg
20200208,浦东,外高桥,永久城市花园 2室2厅 568万,568万,2室2厅 | 115.4平米 | 南 | 精装 | 高楼层(共13层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Y0qTlruTf_1.jpg.296x216.jpg
20200208,浦东,外高桥,高桥繁华地段，紧凑原始三房，非顶楼，诚心出售,300万,3室1厅 | 76.84平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_r9MwgHufV_1.jpg.296x216.jpg
20200208,浦东,外高桥,次新房，房型方正正气，南北布局合理无浪费三开间朝南,395万,3室2厅 | 108.64平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MGIAPyGcT_1.jpg.296x216.jpg
20200208,浦东,外高桥,高南一房，房东诚心出售，总价低，近地铁,145万,1室1厅 | 37.3平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NucgO2k8c_1.jpg.296x216.jpg
20200208,浦东,外高桥,双南户型，采光好，房东诚心出售，看中可谈,210万,2室1厅 | 57.01平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-216e5033-fe3a-462d-ac8b-41b4cf0d5320.jpg.296x216.jpg
20200208,浦东,外高桥,满五唯一 双南两房业主自住装修 价格可以谈 诚心出售,226万,2室1厅 | 64.11平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e7117dda-de39-4fdb-8b23-11da4505db57.jpg.296x216.jpg
20200208,浦东,外高桥,高南新村，一手动迁，地铁双南两室， 低总价诚心出售,206万,2室1厅 | 66平米 | 暂无数据 | 毛坯 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-204836a2-80d2-4cbe-9b74-90158eeaabdf.jpg.296x216.jpg
20200208,浦东,外高桥,临自贸区 地铁站 简单装修 满二税费少 诚意出售,170万,1室1厅 | 44.63平米 | 南 | 毛坯 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-360f0337-3090-40b5-9ed0-8bb699f3c7f0.jpg.296x216.jpg
20200208,浦东,外高桥,南北两房 满五唯一 业主自住装修保养好 价格还可以谈,183万,2室1厅 | 54.4平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b883eaa4-6e83-46c3-b063-d0f463c70e23.jpg.296x216.jpg
20200208,浦东,外高桥,双朝南户型，房子满五年，产权清晰,161万,2室0厅 | 49平米 | 南 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bQwmOW13W_1.jpg.296x216.jpg
20200208,浦东,外高桥,高桥二村 2室0厅 170万,170万,2室0厅 | 50平米 | 南 | 简装 | 中楼层(共6层) | 1981年建 | 板楼,https://image1.ljcdn.com/310000-inspection/5731bbd4-c673-4fa2-92e7-e495ef00cd83_1000.jpg.296x216.jpg
