20200208,闵行,静安新城,大上海国际花园六区 2室1厅 495万,495万,2室1厅 | 84.49平米 | 南 | 简装 | 中楼层(共7层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_e5D69BIE8_1.jpg.296x216.jpg
20200208,闵行,静安新城,静安新城四区 2室1厅 380万,380万,2室1厅 | 64.7平米 | 南 | 简装 | 低楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_iT61mMIq6_1.jpg.296x216.jpg
20200208,闵行,静安新城,9号线置业好选择，五区稀有户型，厨卫集中在北侧！,310万,1室1厅 | 50.68平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ksR35vUuR_1.jpg.296x216.jpg
20200208,闵行,静安新城,九歌上郡   9号线地铁口   诚意出售,380万,1室1厅 | 49.59平米 | 南 | 精装 | 低楼层(共11层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-110a2a90-11c6-41a8-b3b9-c4658dba94f4.jpg.296x216.jpg
20200208,闵行,静安新城,满五年唯一 中间楼层 不靠马路 双南户型 业主诚意,390万,2室1厅 | 62.56平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-b3d70599-1eeb-4011-b975-6e7e7bdaabbe.png.296x216.jpg
20200208,闵行,静安新城,中间楼层一房+采光视野佳+户型好+看房随时+适合刚需,270万,1室1厅 | 45.52平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2748e4ec-4f82-42b9-b66a-a9f1748d51be.jpg.296x216.jpg
20200208,闵行,静安新城,静安新城五区 1室1厅 330万,330万,1室1厅 | 48.55平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qkT9VlZhV_1.jpg.296x216.jpg
20200208,闵行,静安新城,静安新城 小面积电梯房 中间楼层 房东诚意出售房主自荐,283万,1室1厅 | 45.07平米 | 西 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8dcde60f-d297-4c93-8b99-393487f18c32.jpg.296x216.jpg
20200208,闵行,静安新城,南北两房！精装带地暖！有地下车库！,290万,2室1厅 | 43平米 | 南 | 精装 | 低楼层(共6层) | 1998年建 | 板塔结合,https://image1.ljcdn.com/310000-inspection/pc1_juddyiiPE_1.jpg.296x216.jpg
20200208,闵行,静安新城,售后公房，没有增值税，房型正气，仅靠地铁,280万,1室1厅 | 44.6平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VZrZp58Gs_1.jpg.296x216.jpg
20200208,闵行,静安新城,精装修两房 一梯两户 高区景观 位置安静 采光好 税少,330万,2室1厅 | 65.72平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_iUKKVBg6g_1.jpg.296x216.jpg
20200208,闵行,静安新城,一梯一户带9平米入室花园 房型好正气  价格可谈,920万,3室2厅 | 138平米 | 南 | 简装 | 低楼层(共12层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CIGfGtLrX_1.jpg.296x216.jpg
20200208,闵行,静安新城,南北通透 视野宽阔 配套齐全 生活方便 产权清晰,385万,2室1厅 | 66.6平米 | 南 北 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ME5p2br3K_1.jpg.296x216.jpg
20200208,闵行,静安新城,售后公房 满五唯一 精装修 东边沿河位置 视野开阔,432万,2室1厅 | 70.55平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9aff18bb-8165-4784-a786-9339096d155a_1000.jpg.296x216.jpg
