20200208,闵行,春申,此房位置好，装修保养好，业主置换诚意出售,638万,3室2厅 | 100平米 | 南 | 精装 | 低楼层(共21层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BkWtYCgdV_1.jpg.296x216.jpg
20200208,闵行,春申,次新房高区，南北通透，有产权车库，诚意出售。,510万,3室2厅 | 85平米 | 南 北 | 简装 | 中楼层(共19层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZcDUadWfc_1.jpg.296x216.jpg
20200208,闵行,春申,一手动迁精装电梯房，税少，近15号线，配套齐全,385万,2室2厅 | 87.34平米 | 南 北 | 精装 | 低楼层(共13层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CmFUHOoHq_1.jpg.296x216.jpg
20200208,闵行,春申,店长推荐，紧缺南北通全明户型，开放式厨房，精装修,668万,2室2厅 | 97.28平米 | 南 | 精装 | 高楼层(共17层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_mNqo34tq7_1.jpg.296x216.jpg
20200208,闵行,春申,中海精装小三房，带地暖，位置安静。,680万,3室2厅 | 99.98平米 | 南 | 精装 | 低楼层(共18层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RUJRtPmjM_1.jpg.296x216.jpg
20200208,闵行,春申,【清晨的一缕阳光】南北通 主卧带八角飘窗 两房朝南房主自荐,769万,3室2厅 | 116.01平米 | 南 北 | 精装 | 低楼层(共17层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6kfIavRU9_1.jpg.296x216.jpg
20200208,闵行,春申,动迁房免增值税 小区安静位置，不靠高压，南北通户型,379万,2室2厅 | 92.67平米 | 南 | 毛坯 | 低楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MGopMKZmz_1.jpg.296x216.jpg
20200208,闵行,春申,都市宜家苑 2室2厅 375万,375万,2室2厅 | 88.01平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VWXxlGkzM_1.jpg.296x216.jpg
20200208,闵行,春申,上海春城 3室2厅 818万,818万,3室2厅 | 132.38平米 | 南 | 精装 | 低楼层(共10层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NX3ABm9ck_1.jpg.296x216.jpg
20200208,闵行,春申,此房本满二年 税费少 小区景观位置 精装修保养好,1770万,4室2厅 | 248.17平米 | 南 北 | 精装 | 低楼层(共25层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8RxWWJckB_1.jpg.296x216.jpg
20200208,闵行,春申,大露台，空中别墅，业主急售，满五唯一，店长力荐,550万,4室3厅 | 153.55平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MxBBssMoF_1.jpg.296x216.jpg
20200208,闵行,春申,【复式】【阁楼】【采光好】【随时看房】,637万,4室2厅 | 187.46平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-60131c5f-2b9a-4d6b-b545-4f5555ab31e2.jpg.296x216.jpg
20200208,闵行,春申,电梯双南两房 满五唯一 税费少 人车半分流 厨卫全明,640万,2室2厅 | 92.53平米 | 南 | 简装 | 中楼层(共17层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_g8UtS7016_1.jpg.296x216.jpg
20200208,闵行,春申,精装修  高楼层两房，采光充足，通风性好,365万,2室1厅 | 85.13平米 | 南 北 | 精装 | 高楼层(共9层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1QXjZMd3T_1.jpg.296x216.jpg
20200208,闵行,春申,非底楼双南户型 采光好位置安静 税费低,263万,2室1厅 | 63.22平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Nh9OgPBj4_1.jpg.296x216.jpg
20200208,闵行,春申,临地铁，临菜场，楼层好，采光好，户型正，诚意出售房主自荐,259万,1室1厅 | 60.5平米 | 南 | 精装 | 中楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wV21Q3S9K_1.jpg.296x216.jpg
20200208,闵行,春申,中城中层一房+精装修+厨卫全明+采光通风好+看方便利,368万,1室1厅 | 52.59平米 | 南 | 精装 | 中楼层(共11层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ymeeERUge_1.jpg.296x216.jpg
20200208,闵行,春申,双南户型 房型正气 满五年唯一 急卖！！随时看房,240万,2室1厅 | 64平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a2378b7e-5d73-4ddc-a668-f3830e45f9da.jpg.296x216.jpg
20200208,闵行,春申,中城绿苑 2室2厅 530万房主自荐,530万,2室2厅 | 85.96平米 | 南 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2d522ddd-cf08-4a4c-9a43-5eb43a804277.jpg.296x216.jpg
20200208,闵行,春申,中城景观房+厨卫全明+南北双阳台+近莘庄地铁+诚售,528万,2室2厅 | 85.94平米 | 南 | 简装 | 中楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f961f722-9bb8-4b8c-ab48-37c41559557c.jpg.296x216.jpg
20200208,闵行,春申,银泰苑毛坯三房楼层位置好采光充足房主自荐,479万,3室2厅 | 120.83平米 | 南 北 | 毛坯 | 高楼层(共11层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a86b8c3b-c1dd-4161-a97c-ec2a6e5c24ae.jpg.296x216.jpg
20200208,闵行,春申,店长推荐带花园大三房，税少各付，湖景房,820万,3室2厅 | 127.67平米 | 南 | 精装 | 低楼层(共16层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-14fe3040-b3f7-409b-9dee-cb48a4f1e663.jpg.296x216.jpg
