20200208,宝山,共康,满五税费少，户型方正，楼层好，一梯两户,449万,2室2厅 | 88.76平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_d7N8fuYQU_1.jpg.296x216.jpg
20200208,宝山,共康,飞机户型宝山万达，近一号线共康站，品质小区舒适生活,690万,3室2厅 | 116.22平米 | 南 北 | 简装 | 中楼层(共15层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9xZU77HVH_1.jpg.296x216.jpg
20200208,宝山,共康,共康八村满五，中等楼层老少皆宜，采光好，价格可谈,250万,1室1厅 | 55.91平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-be4d25ea-59a1-437c-b8d7-6c111ba084e5.jpg.296x216.jpg
20200208,宝山,共康,共康八村两房一厅，满五唯一税费少，婚房装修成本低,300万,2室1厅 | 73.06平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3d9e2136-c5de-4312-90ef-96bd83d95652.jpg.296x216.jpg
20200208,宝山,共康,Lianjia.一梯两户商品房+全明+通河新村站+万达商圈,355万,2室1厅 | 79.94平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a88812e4-ede1-4ecc-ba8a-d34640081cc7.jpg.296x216.jpg
20200208,宝山,共康,满五税费少，户型方正，低楼层，一梯两户,490万,2室2厅 | 88.39平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_h3tdXxbnJ_1.jpg.296x216.jpg
20200208,宝山,共康,新房3房2厅阁楼不算面积，满五税费少，近地铁花园楼房,465万,3室2厅 | 82.58平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PmCKjuo2Y.jpg.296x216.jpg
20200208,宝山,共康,地铁，交通便利，满五唯一，双南双阳台,365万,2室1厅 | 79.01平米 | 南 | 精装 | 中楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/37e0f500-eae0-41a9-b95b-69139735c962_1000.jpg.296x216.jpg
20200208,宝山,共康,满五唯一，采光好，楼层佳，精装电梯房6楼房主自荐,460万,2室2厅 | 84.89平米 | 南 北 | 精装 | 中楼层(共14层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gpjmIdBCi_1.jpg.296x216.jpg
20200208,宝山,共康,采光好+近通河新村地铁站+楼层好+户型正气,250万,1室1厅 | 54.89平米 | 南 北 | 其他 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GAnctxlxT_1.jpg.296x216.jpg
20200208,宝山,共康,共康八村 2室1厅 280万,280万,2室1厅 | 66.16平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8APq0f6h9_1.jpg.296x216.jpg
20200208,宝山,共康,满五唯一+近通河新村地铁站+婚房精装+户型整气,186万,1室1厅 | 43.18平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Kn1htqROh_1.jpg.296x216.jpg
20200208,宝山,共康,满五唯一省个税+ 附9平超大阳台+27平大客厅拎包入住,530万,2室2厅 | 89.65平米 | 南 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LC83s8pLs_1.jpg.296x216.jpg
20200208,宝山,共康,共康八村 中间楼层 户型方正 满五唯一 房东诚意出售,310万,2室1厅 | 75.82平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/14bae211-2b4b-4af1-955d-7720366a171a_1000.jpg.296x216.jpg
20200208,宝山,共康,满五年唯一，一梯两户，采光好视野开阔,270万,2室1厅 | 65.83平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9b62d4db-982b-4dcf-bde3-267bb036415d_1000.jpg.296x216.jpg
20200208,宝山,共康,一楼带天井，南北通透，全明两房一厅,345万,2室1厅 | 71.97平米 | 北 南 | 其他 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_J0bQXsyOl_1.jpg.296x216.jpg
20200208,宝山,共康,满五唯一  双南户型 精装修 业主诚意出售,280万,2室1厅 | 61.16平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FhDL6Nk3V_1.jpg.296x216.jpg
20200208,宝山,共康,出行便利，高层，满五唯一，精装修，看房子随时,580万,3室2厅 | 90.92平米 | 南 北 | 精装 | 高楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Bk2rotkPu.jpg.296x216.jpg
20200208,宝山,共康,共康七村 2室2厅 370万,370万,2室2厅 | 82.6平米 | 南 北 | 其他 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Fq8PFkUBe_1.jpg.296x216.jpg
20200208,宝山,共康,共康八村 2室1厅 300万,300万,2室1厅 | 73.06平米 | 南 | 其他 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/9b3035f6-a3de-4636-af40-adf5c6d1f14a_1000.jpg.296x216.jpg
