20200208,宝山,淞宝,满五年唯一，朝南户型，88年的房子房龄新，诚意出售,135万,1室0厅 | 33.23平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b5e2ec1d-7656-4c51-adaa-8413551fc4ba.jpg.296x216.jpg
20200208,宝山,淞宝,宝林九村 2室2厅 322万,322万,2室2厅 | 85.26平米 | 南 北 | 其他 | 高楼层(共18层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-c045d784-7e74-4331-af3d-bf601dd77a49.jpg.296x216.jpg
20200208,宝山,淞宝,全明三房 两厅 两卫 采光好 电梯房,545万,3室2厅 | 120.59平米 | 南 | 简装 | 中楼层(共28层) | 1998年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-6c9e0fa2-7118-4ed7-b276-8a66e546eb8f.jpg.296x216.jpg
20200208,宝山,淞宝,房屋采光充足，性价高户型不错，两房朝南，全明户型,200万,2室1厅 | 56.47平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c2011fcf-ce9b-47b8-b733-029386013b33.jpg.296x216.jpg
20200208,宝山,淞宝,宝林一村电梯房采光亮 中区楼层 宝杨路地铁站 宝乐汇房主自荐,325万,2室1厅 | 77.04平米 | 东南 北 | 简装 | 中楼层(共18层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-ad8d49a1-3b08-4a5b-bb9b-f2fac92440f0.jpg.296x216.jpg
20200208,宝山,淞宝,宝林一村 二房一厅电梯房 靠三号线宝杨路站,300万,2室1厅 | 61.52平米 | 东南 | 简装 | 低楼层(共18层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_E9NPD7G5t.jpg.296x216.jpg
20200208,宝山,淞宝,宝林一村一室户 地铁宝杨路站  户型正 靠公园宝乐汇,208.9万,1室1厅 | 41.79平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a529611f-bf93-4165-b499-6afd5fb0b7ab.jpg.296x216.jpg
20200208,宝山,淞宝,业主急售 已定待售 双南户型 学而有成 价格便宜,250万,2室1厅 | 66.42平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Y1vYK9nIo.jpg.296x216.jpg
20200208,宝山,淞宝,一室好户型，大客厅，朝南大卧室,205万,1室1厅 | 55.9平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_OKygvf5FZ.jpg.296x216.jpg
20200208,宝山,淞宝,宝钢九村 1室1厅 220万,220万,1室1厅 | 55.52平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_leR5olg7O.jpg.296x216.jpg
20200208,宝山,淞宝,1楼 朝南 有厅 带天井  采光好 近商圈房主自荐,165万,1室1厅 | 39.2平米 | 南 | 毛坯 | 低楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qfYt3KYsJ.jpg.296x216.jpg
20200208,宝山,淞宝,中装一室一大厅，满五唯一，非顶楼，近水产路地铁房主自荐,179万,1室1厅 | 47.38平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ad0e0dc6-1d1e-4e4e-988c-59e18acd565c.jpg.296x216.jpg
20200208,宝山,淞宝,宝山二村 中楼层  采光好  商品房,170万,1室1厅 | 40.49平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f56eb6a4-a303-436c-91ba-bf37691d7850.png.296x216.jpg
20200208,宝山,淞宝,低总价一楼的一房，房东诚心出售，近地铁,102万,1室1厅 | 34.07平米 | 北 | 简装 | 低楼层(共4层) | 1959年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d8a59e08-5d4e-4cdc-8308-1eeb4a90b016.jpg.296x216.jpg
20200208,宝山,淞宝,宝钢三村地铁3号线友谊路 双南一北大三房  业主置换,480万,3室2厅 | 131.56平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-af3c983c-fc0e-4dd9-bbe2-5063922e3281.jpg.296x216.jpg
20200208,宝山,淞宝,正气一室一厅户型 厅朝南有窗户,160万,1室1厅 | 38.38平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e3bba1aa-5f62-43ad-bd06-a59721dfe931.jpg.296x216.jpg
