20200208,闵行,老闵行,满五年唯一，少税费，全明户型，正气,189万,2室1厅 | 61平米 | 东南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e8997ba6-a665-483b-8640-2a2ab9fea546.jpg.296x216.jpg
20200208,闵行,老闵行,南和北格局楼采光好一梯两户楼层好小区绿化茂盛环境好,198万,1室1厅 | 59.23平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_NkuB9nkmy_1.jpg.296x216.jpg
20200208,闵行,老闵行,丽都城在售房源中总价低的南北两房,335万,2室1厅 | 81.35平米 | 南 | 简装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_PPgyIkuCi_1.jpg.296x216.jpg
20200208,闵行,老闵行,业主急售 看中价格可谈 高层电梯两房 采光好,385万,2室2厅 | 91.29平米 | 南 北 | 简装 | 中楼层(共12层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qBuP26i3m_1.jpg.296x216.jpg
20200208,闵行,老闵行,红旗四街坊 2室1厅 145万,145万,2室1厅 | 53.9平米 | 南 北 | 简装 | 中楼层(共5层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_GxRt00LD7_1.jpg.296x216.jpg
20200208,闵行,老闵行,一室一厅，户型正气，楼层适中，满五唯一,125万,1室1厅 | 42.77平米 | 南 | 简装 | 中楼层(共5层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_szta3KeI0_1.jpg.296x216.jpg
20200208,闵行,老闵行,鹤北一街坊，南北户型，南北朝向，看房方便,238万,2室1厅 | 67.78平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e312a9de-01ab-47fc-ba26-744d5e2a7a35.jpg.296x216.jpg
20200208,闵行,老闵行,房东置换诚意出售，看房随时方便，就等有缘人房主自荐,235万,2室1厅 | 62.38平米 | 东 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0d554917-d998-4983-9590-38be3ce5cb25.png.296x216.jpg
20200208,闵行,老闵行,满五年税费少，2005年的房龄，2房南北朝向，户型佳,459万,2室2厅 | 97.71平米 | 南 北 | 简装 | 低楼层(共14层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-06bab79b-a879-4d3a-a2b3-94d53385b8f8.jpg.296x216.jpg
20200208,闵行,老闵行,金榜世家（六期） 2室1厅 430万,430万,2室1厅 | 94平米 | 南 | 其他 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kfhslaOQq_1.jpg.296x216.jpg
