20200208,徐汇,上海南站,光华园 一楼带天井，南北通两房，位置好,470万,2室1厅 | 58.03平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-207b668b-2cc2-4c08-8546-504aa9487921.jpg.296x216.jpg
20200208,徐汇,上海南站,动迁房满五唯一 中间楼层 不靠马路 采光好 1号 3号线,389万,2室1厅 | 71.45平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-547c259c-5489-4071-94bf-fb53bae30430.jpg.296x216.jpg
20200208,徐汇,上海南站,近上海南站 两房两厅一卫 采光好 一梯两户 诚心出售,580万,2室2厅 | 100.88平米 | 南 | 简装 | 低楼层(共5层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8524c172-d029-469f-898c-ec31eaddd346.jpg.296x216.jpg
20200208,徐汇,上海南站,三房朝南厨卫朝北的正户型，清新精美装修，美观大雅,700万,3室1厅 | 97平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5fe9af43-0942-4537-a0ed-b9ba4e15a6b8.jpg.296x216.jpg
20200208,徐汇,上海南站,近上海南站，两房朝南，采光无碍，看房方便，价格可谈,580万,2室1厅 | 102.66平米 | 南 | 简装 | 低楼层(共8层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-32a4e116-1cd5-4560-b696-96a3e0de26d8.jpg.296x216.jpg
20200208,徐汇,上海南站,金牛苑+双南两房+满五不唯一+看房方便+近上海南站,335万,2室1厅 | 62.45平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-508f163a-36cb-4af8-8b5d-8ee307a9a9fb.jpg.296x216.jpg
20200208,徐汇,上海南站,近上海南站，采光好，房东诚意出售。,590万,3室1厅 | 102.66平米 | 南 | 简装 | 低楼层(共8层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_H0AutK74E_1.jpg.296x216.jpg
20200208,徐汇,上海南站,双南双天井，户型方正，得房率高房主自荐,430万,2室1厅 | 70.34平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-896e3447-036b-45a4-8be0-743e4ec89093.jpg.296x216.jpg
20200208,徐汇,上海南站,近上海南站，05年次新房，高区采光足，视野好，诚意卖,615万,1室1厅 | 71.43平米 | 南 | 简装 | 高楼层(共17层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4ubU2DjSl_1.jpg.296x216.jpg
20200208,徐汇,上海南站,汇成三村 1室0厅 150万房主自荐,150万,1室0厅 | 29.5平米 | 北 | 其他 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_a6NT9Bejk_1.jpg.296x216.jpg
